Time_Elapsed,Temperature,RMS_Current,PWM,Live_Damping,Health_Score,Status
0.18,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.29,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.37,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.42,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.57,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.75,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.84,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.93,87,0,0,0.9565,0.0,CRITICAL_ESTOP
0.99,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.05,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.09,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.16,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.18,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.21,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.27,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.32,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.42,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.52,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.61,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.73,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.79,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.80,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.87,87,0,0,0.9565,0.0,CRITICAL_ESTOP
1.95,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.02,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.11,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.24,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.32,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.40,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.50,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.55,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.64,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.71,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.75,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.77,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.80,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.84,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.85,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.85,87,0,0,0.9565,0.0,CRITICAL_ESTOP
2.85,87,0,0,0.9565,0.0,CRITICAL_ESTOP
